,covariate,0
15,est_years_married,1.1624907216617497
11,education_gap_categorical_0,1.1258182335906404
3,husband_education_4,1.0796942461850032
9,standard_living_3,1.0538208479471345
7,husband_occupation_4,1.0052783448814393
10,media_exposure_1,1.000901847410685
13,num_child,0.995297551186422
8,standard_living_2,0.969561826006165
1,husband_education_2,0.9576430697458042
4,wife_religion_1,0.9538540833505
2,husband_education_3,0.936044731851343
5,husband_occupation_2,0.926836641994592
6,husband_occupation_3,0.9099585243623577
0,median_marriage_age,0.883608067996553
12,education_gap_categorical_1,0.8833997643927765
14,kids_per_year,0.84918071256621
