,covariate,0
4,husband_education_4,2.6349870929950194
11,standard_living_3,2.19873798918507
3,husband_education_3,2.1661715786642244
15,num_child,1.8452727074803845
1,wife_education_1,1.7088282039091052
10,standard_living_2,1.563410219854051
16,kids_per_year,1.377806574532381
2,husband_education_2,1.2303361577966259
9,husband_occupation_4,1.2265880609825197
6,wife_work_1,1.0998285071379479
8,husband_occupation_3,1.0606209609110673
7,husband_occupation_2,0.7667004270889611
13,education_gap_categorical_0,0.6316200748230244
12,media_exposure_1,0.5835065565134556
5,wife_religion_1,0.5406282012100434
0,median_marriage_age,0.4567002039252054
14,education_gap_categorical_1,0.4202348122691911
17,est_years_married,0.277349335933004
